Database Name,URL,Description
Asian American Drama,https://libguides.asu.edu/aadr,"Full-text access to over 250 plays by Asian American playwrights from the late 19th to early 21st century, with details on productions, theaters, companies, and selected ephemera."
ASM Handbooks Online,https://libguides.asu.edu/asmhbk,"Provides full-text access to reference materials on metals and materials engineering, featuring comprehensive data, illustrations, and bibliographies, with content accessible through keyword search or topic browsing."
ASM Journals (American Society for Microbiology),https://libguides.asu.edu/amersocmicrobio,Discover peer-reviewed articles covering both basic and clinical aspects of microbiology.
ASM Materials Platform for Data Science,https://libguides.asu.edu/alloydiag,"Provides access to the world’s largest repository of inorganic materials data, including phase diagrams, crystal structures, and materials properties, with advanced search options and tools for research and analysis."
ASME Online Journals,https://libguides.asu.edu/asme,"Search publications from the American Society of Mechanical Engineers (ASME) on topics such as systems science, modeling, signal processing, and industrial applications."
Aspen Learning Library,https://libguides.asu.edu/aspenlearninglibrary,"Provides unlimited online access to hundreds of titles aimed at the law student. Available series include: Examples & Explanations, Emanuel Law Outlines, Glannon Guides, and In Other Words video lectures."
Associated Press Collections Online (Gale Primary Sources),https://libguides.asu.edu/ap-online,"Extensive historical news coverage, imagery, and internal documents from the mid-1800s through the twentieth century, supporting research across multiple disciplines."
ASTM Compass,https://libguides.asu.edu/astmcompass,"Provides online access to ASTM International standards used in engineering, manufacturing, materials testing, and regulatory compliance."
ASTM Digital Library,https://libguides.asu.edu/astm-dl,"Engineering literature, including journal articles, conference proceedings, the Special Technical Publication (STP) book series, and other technical works."
Astrophysics Data System (ADS),https://libguides.asu.edu/astrodsas,"Digital library portal containing research in astronomy, astrophysics, and physics."
ASU GeoData,https://libguides.asu.edu/asu-geodata,"Geospatial datasets, maps, and imagery curated byASU Library's Map and Geospatial Hub, along with links to external geographic data platforms for research and exploration."
ASU Library Repository Services,https://libguides.asu.edu/asurepository,"Arizona State University's institutional repository, housing scholarly outputs and other administrative, creative, and cultural materials."
ASU Newspaper Index,https://libguides.asu.edu/asunewsidx,"Coverage:1906+Maximum Concurrent Users:UnlimitedIndexes selected articles from Arizona State University newspapers: Tempe Normal School Student, Arizona State Teachers College Collegian, ASU State Press, ASU Insight, ASU Insight West, ASU Insight East."
ASU School of Music Performance Archive,https://libguides.asu.edu/asumusicperf,"The ASU School of Music Performance Archive is devoted to the preservation and dissemination of recordings of performances offered by the School of Music from 1985 to the present day. Content is derived from undergraduate and graduate student recitals, faculty performances, and concerts given by the School’s various ensembles. It provides streaming access to a wide range of music, some of which has never been available on commercial sound recordings. In creating this archive, it is the intent of the ASU Library to provide a freely available, valuable, electronic resource for the scholarly study of music."
ASU Sheet Music Collection,https://libguides.asu.edu/ASUSMC,"The Sheet Music Collection consists of approximately 30,000 pieces of uncataloged sheet music ranging from the late 1800s through the 1980s. The sheet music in the digital repository is presented as part of the historical record. The topics, illustrations, and language reflect the attitudes and beliefs of earlier times. Arizona State University does not endorse the views expressed in these materials that may contain images and text that are offensive to some users."
ASU Song Index,https://libguides.asu.edu/songidx,Index of songs and musical compositions held by Arizona State University Music Library.
ASU Special Collections Index,https://libguides.asu.edu/specialcoll,Includes rare manuscripts and ephemera related to performing arts and literary history from ASU Library's Special Collections.
ASU Special Materials Index,https://libguides.asu.edu/specialmaterials,"Indexes ephemeral materials, photographs, oral histories, and manuscripts from archival collections on Arizona, Chicano culture, visual literacy, and university history, including resources from Hayden Library and the Arizona Historical Foundation."
ATLA Religion Database + ATLAS,https://libguides.asu.edu/atlareligion,"A comprehensive database that includes articles from hundreds of journals and magazines and covers world religions, Biblical Studies, Church history, and religious perspectives on social issues. Includes citations and full-text of articles, essays, books, conference proceedings, and book reviews."
Avery Index to Architectural Periodicals,https://libguides.asu.edu/averyarchitect,"Indexes journals, popular periodicals, professional association publications, US state & regional periodicals, and major serials on architecture and design. Other subjects include Archeology, City & Urban planning, Historic preservation, etc."
Barron's (ProQuest),https://libguides.asu.edu/barrons,"Access articles from Barron's, a weekly publication for investors, providing an in-depth examination of companies and industries that may present investment opportunities. This content spans from 1988 to the present."
Bayeux Tapestry Digital Edition,https://libguides.asu.edu/bayeuxtapestry,The Bayeux Tapestry Digital Edition presents all of the Bayeux Tapestry in a scrolling format and includes scholarly annotations keyed to relevant sections.
BBC Shakespeare Plays,https://libguides.asu.edu/bbcshakespeare,"Maximum Concurrent Users:UnlimitedTelevision adaptations of all 37 Shakespeare plays, produced by the BBC between 1978 and 1985. These have become standard productions for educational purposes."
Behind the Scenes of the Civil Rights Movements (Reveal Digital),https://libguides.asu.edu/reveal-crm,"Open-access collection of curated primary sources on grassroots civil rights activism by everyday citizens in Black, Latine, Indigenous, and Asian American/Pacific Islander communities."
BHA and RILA,https://libguides.asu.edu/bibliohistart,"Coverage:1975 - 2007Covers European and American visual arts material including articles from over 1,200 journals. These citation databases, searchable together, cover material published between 1975 and 2007."
Bibliographia Franciscana,https://libguides.asu.edu/biblio-franc,"A bibliography of scholarly works on Franciscan history and spirituality in English, Italian, and Latin, featuring articles, books, and essays from global sources."
Bibliographia Internationalis Spiritualitatis,https://libguides.asu.edu/biblio-internat,"A multilingual, open access bibliography indexing global research on Christian spirituality, with records primarily in English, French, German, Spanish, and Italian."
Bibliography of Indigenous Peoples in North America,https://libguides.asu.edu/biblionna,"Curated citations to scholarly and popular sources on the culture, history and daily life of Indigenous peoples of North America, supporting research across disciplines with references to books, articles, essays and government documents from the U.S. and Canada."
Bibliography of the Hebrew Book,https://libguides.asu.edu/bibliohebrew,"Coverage:1470-1960Maximum Concurrent Users:UnlimitedCovers most of the books printed in the Hebrew alphabet since the establishment of the Hebrew print, including Hebrew, Ladino, Yiddish, Judeo-Arabic, and other Jewish languages. The database includes bibliographic information for over one hundred thousand books and thousands of short biographies for authors, translators, and editors. The interface is bilingual (English/Hebrew), results are in Hebrew."
BioCyc Genome Database Collection,https://libguides.asu.edu/biocyc,"A microbial genome web portal that integrates thousands of genomes with additional information from computer programs, other databases, and biologist curation. It offers a variety of query tools, visualization services, and analysis software."
Biodiversity Heritage Library,https://libguides.asu.edu/biodiversityheritagelibrary,World's largest open access digital archive of biodiversity literature and resources.
Biography Index Retrospective: 1946-1983 (H.W. Wilson),https://libguides.asu.edu/bioidx19461983,"Indexes biographical information on notable people from antiquity to 1983, found in resources published from 1946 to 1983."
Biological Science Collection,https://libguides.asu.edu/biosciences,"Full-text access to Biological Sciences, MEDLINE, and TOXLINE databases, offering peer-reviewed research, technical reports, and conference proceedings in biology, medicine, ecology, and biotechnology from 1946 to the present."
BioMed Central,https://libguides.asu.edu/biomed,Collection of open access journals and articles covering all areas of biology and medicine.
BioOne,https://libguides.asu.edu/bioone,"High-quality research in biology, ecology, and environmental sciences, featuring peer-reviewed journals and books from leading scientific societies, supporting researchers, educators, and students in life and environmental sciences."
BioProtection Portal,https://libguides.asu.edu/bioprotection,Directory containing information and resources on biological protection and pest management products.
Birds of the World,https://libguides.asu.edu/birdsworld,"A comprehensive ornithological research platform compiles scholarly content, bird observations, and multimedia into a single resource for detailed avian life history information."
Black Drama,https://libguides.asu.edu/blackdrama,"Full text access to over 1,700 plays by 200+ Black playwrights from North America, Africa, the Caribbean, and diaspora regions, plus production details, theater information, playbills, photographs, and other related ephemera, spanning from the mid-1800s to today."
Black Life in America,https://libguides.asu.edu/blacklifeamerica,"Comprehensive coverage of the African American experience from earliest times to today. Sourced from nearly 20,000 American and global newspapers from 1704 to the present, including over 400 African American newspapers. Provides full-text searching as well as access to content by Topic, Event, and Eras in African American History. Updated daily."
Black Periodicals: from the Great Migration through Black Power (Reveal Digital),https://libguides.asu.edu/black-periodicals,"Open-access archive collects Black-published periodicals documenting political, cultural, and community life from the Great Migration to the Black Power era, highlighting diverse Black voices and ideologies."
Black Short Fiction and Folklore,https://libguides.asu.edu/blackshort,"Stories from Africa and the African Diaspora, featuring folktales, fables and short stories from oral traditions to modern life. Also includes complete runs of select literary magazines likeKyk-Over-AlandThe Beacon."
Black Studies Center,https://libguides.asu.edu/blackstudies,"A cross-searchable gateway to Black Studies, featuring scholarly essays, periodicals, historical newspapers, reference books, and more for research and teaching."
Black Thought and Culture,https://libguides.asu.edu/bltc,"Full-text access to 100,000 pages of non-fiction writings by over 1,000 prominent Black leaders, including abolitionists, civil rights activists, and scholars. Spanning 250 years of history, it features letters, speeches, interviews, essays, and periodicals."
Black Women Writers,https://libguides.asu.edu/bwr,"A collection of 100,000 pages of literature and essays on feminist issues by authors from Africa and the African diaspora, ranging from the 18th century to the early 21st century. It includes narratives of slavery, the Harlem Renaissance, Caribbean women's writings, and emphasizes 1960s womanism and black feminism."
Blackwell Encyclopedia of Sociology,https://libguides.asu.edu/blackwellsociology,Covers core and emerging topics in sociology through thousands of peer-reviewed entries written by global scholars.
Bloomsbury Art Markets,https://libguides.asu.edu/bloomsbury-artmarkets,"Provides a comprehensive guide to art galleries, auction houses, art fairs, and agents from multiple national and historical contexts. This digital resource is designed to serve the expanding research areas of art market studies, art historiography and provenance research."
Bloomsbury Fashion Central,https://libguides.asu.edu/bloomsburyfashioncentral,"A dynamic digital hub for interdisciplinary research in fashion and dress. Peer-reviewed content includes major reference works, exclusive articles, scholarly eBooks, case studies, biographies, lesson plans, bibliographic guides, textbooks, video content, runway and backstage photos from fashion shows, and tens of thousands of images from museums around the world."
Bloomsbury Historic Dress in Detail,https://libguides.asu.edu/bloomsbury-historic-dress,"Resources on historical dress, including videos and articles highlighting materials, construction techniques, and fastenings for students and researchers in costume and fashion studies."
Bloomsbury History: Theory and Method,https://libguides.asu.edu/bloomsburyhistorytheorymethod,"A digital resource dedicated to historiography and the examination of historical theory and methods using a global approach, featuring scholarship in the form of exclusive articles contributed by historians from many different countries."
Book Review Digest Retrospective: 1903-1982 (H.W. Wilson),https://libguides.asu.edu/bookrvw19031982,Searches decades of H.W. Wilson’s Book Review Digest providing excerpts from and citations to reviews of adult and juvenile fiction and non-fiction.
Border and Migration Studies Online,https://libguides.asu.edu/bordmigstudies,"Provides historical context and diverse perspectives on border and migration issues across over 30 global border areas, featuring 100,000 pages of text, 175 hours of video, and 1,000 images covering topics like refugee camps, human trafficking, and undocumented migration​."
Brazilian Government Document Digitization Project,https://libguides.asu.edu/braziliangovdocs,"Digitized executive-branch serials from Brazil’s federal and provincial governments, showcasing historical political and administrative records."
Brill Online Reference Works,https://libguides.asu.edu/brillrefworks,"This platform is the access point for several encyclopedias published by Brill, including the Encyclopedia of Islam, Encyclopedia of Hinduism, Encyclopedia of Women and Islamic Cultures, and New Pauly. Each of these electronic works may also be accessed via the Catalog."
Brill's Encyclopaedia of Islam,https://libguides.asu.edu/encycloislam,Brill’s Encyclopaedia of Islam Three (third edition) is a comprehensive work about Islam and the present state of scholarship. The encyclopedia includes both the second and third editions.
Brill's Encyclopedia of Hinduism,https://libguides.asu.edu/encyclohinduism,"Brill’s Encyclopedia of Hinduism covers the present state of research on main aspects of the Hindu traditions, both historical and current."
Brill's New Jacoby,https://libguides.asu.edu/jacoby,"Maximum Concurrent Users:UnlimitedJacoby Online is one of the most authoritative resources for the study of ancient Greek historians. It comprises 1) Felix Jacoby’s monumental Die Fragmente der griechischen Historiker I-III; 2) Brill’s New Jacoby, a new English edition of FgrHist I-IIII; 3) Die Fragmente der griechischen Historiker IV, and 4) Die Fragmente der griechischen Historiker V"
Brill's New Pauly Online,https://libguides.asu.edu/newpauly,"Brill's New Pauly covers the Greco-Roman culture and its interactions with and influence on the Semitic, Celtic, Germanic, and Slavonic cultures and the three Abrahamic religions: ancient Judaism, Christianity, and Islam. It also includes New Pauly Supplements I and II."
Britannica Academic,https://libguides.asu.edu/britannicaacademic,"Includes the complete encyclopedia, Merriam-Webster's Collegiate Dictionary, world atlas, timelines, ""This Day in History,"" and world data analysis, with articles, illustrations, definitions, and curated links reviewed by Britannica editors. Includes AI assistantASK Britannica."
British Library Newspapers (Gale Primary Sources),https://libguides.asu.edu/19britnews,"Delivers a wide range of irreplaceable local and regional voices to reflect the social, political, and cultural events of the eighteenth, nineteenth, and twentieth centuries. Includes complete collection covering England, Ireland, Northern Ireland, Scotland, and Wales."
